127.0.0.1 - - [26/Apr/2019:13:42:29 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:31 +0530] "GET /EEWQ/UniIndex.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:45 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/base.css HTTP/1.1" 200 5532
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/skeleton.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/prettyPhoto.css HTTP/1.1" 200 19698
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/screen.css HTTP/1.1" 200 31962
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/NSBM.jpg HTTP/1.1" 200 62651
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/Stanford.jpg HTTP/1.1" 200 193357
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/IIT.jpg HTTP/1.1" 200 55784
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /images/rausch.png HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/Mit.jpg HTTP/1.1" 200 80113
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/Colom.jpg HTTP/1.1" 200 358762
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/anna.jpg HTTP/1.1" 200 308088
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/Peradeniya.jpg HTTP/1.1" 200 427617
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /EEWQ/Colombo.jpg HTTP/1.1" 200 566396
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /images/bg/caption.png HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:46 +0530] "GET /images/bg/caption2.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:47 +0530] "GET /EEWQ/twitter.png HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:47 +0530] "GET /EEWQ/facebook.png HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:47 +0530] "GET /EEWQ/dribbble.png HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:47 +0530] "GET /EEWQ/pricet.jpg HTTP/1.1" 200 2125880
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:47 +0530] "GET /EEWQ/google+.png HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:47 +0530] "GET /EEWQ/linkedin.png HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:42:47 +0530] "GET /EEWQ/youtube.png HTTP/1.1" 200 1994
