127.0.0.1 - - [14/May/2019:12:04:15 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:22 +0530] "GET /EEWQ/blog.jsp HTTP/1.1" 200 7268
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:22 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:22 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:22 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:22 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:22 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:22 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:22 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:22 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:23 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:12:04:23 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:12:13:23 +0530] "GET /EEWQ/blog.jsp HTTP/1.1" 200 7295
0:0:0:0:0:0:0:1 - - [14/May/2019:12:13:23 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/May/2019:12:13:23 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:12:13:23 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [14/May/2019:12:13:23 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [14/May/2019:12:13:23 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 1056
